X,Y,OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,LATITUDE,LONGITUDE,LAT,LGT
-66.26736652,18.13786254,52,705,AIBONITO,PR,18.13786254,-66.26736652,18.13786254,-66.26736652
-65.898896,17.99875649,53,707,MAUNABO,PR,17.99875649,-65.898896,17.99875649,-65.898896
-66.05809741,17.97606579,54,714,ARROYO,PR,17.97606579,-66.05809741,17.97606579,-66.05809741
-66.56634201,18.01074224,55,715,MERCEDITA,PR,18.01074224,-66.56634201,18.01074224,-66.56634201
-66.60655358,18.00075254,56,716,PONCE,PR,18.00075254,-66.60655358,18.00075254,-66.60655358
-66.61300317,18.00346389,57,717,PONCE,PR,18.00346389,-66.61300317,18.00346389,-66.61300317
-65.72882529,18.20791547,58,718,NAGUABO,PR,18.20791547,-65.72882529,18.20791547,-65.72882529
-66.24434535,18.29962663,59,719,NARANJITO,PR,18.29962663,-66.24434535,18.29962663,-66.24434535
-66.40554355,18.19023635,60,720,OROCOVIS,PR,18.19023635,-66.40554355,18.19023635,-66.40554355
-65.8495,18.3768,61,721,PALMER,PR,18.3768,-65.8495,18.3768,-65.8495
-66.00759352,18.04650826,62,723,PATILLAS,PR,18.04650826,-66.00759352,18.04650826,-66.00759352
-66.03141271,18.23434595,63,725,CAGUAS,PR,18.23434595,-66.03141271,18.23434595,-66.03141271
-66.03991235,18.22603702,64,726,CAGUAS,PR,18.22603702,-66.03991235,18.22603702,-66.03991235
-66.05227503,18.2320616,65,727,CAGUAS,PR,18.2320616,-66.05227503,18.2320616,-66.05227503
-66.64983146,18.0094205,66,728,PONCE,PR,18.0094205,-66.64983146,18.0094205,-66.64983146
-65.89672029,18.38199702,67,729,CANOVANAS,PR,18.38199702,-65.89672029,18.38199702,-65.89672029
-66.6133464,18.02458693,68,730,PONCE,PR,18.02458693,-66.6133464,18.02458693,-66.6133464
-66.6373826,18.09644897,69,731,PONCE,PR,18.09644897,-66.6373826,18.09644897,-66.6373826
